Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Mileage,Reason,K,Comments
219,2723194,15022,2006,CHEVROLET,MONTE CARLO,2G1WL15C169350982,,ARREST,,
120,2705165,14235,1996,CADILLAC,DEVILLE,1G6KD52Y2TU227476,,STOLEN,,
156,2728358,15247,2015,NISSAN,VERSA,3N1CE2CP9FL377802,,ACCIDENT,,
117,2732442,15449,2002,BUICK,LESABRE,1G4HR54K72U107913,,ARREST,K,
12,2697099,13893,2004,CHEVROLET,MALIBU,1G1ZT64824F174472,,STOLEN,,
91,2733244,15483,2008,HYUNDAI,TUCSON,KM8JN72D38U854740,,STOLEN,,
385,2715530,14690,2004,CHEVROLET,IMPALA,2G1WF52E749282642,STARTS,ARREST,K,STARTS
257,2723481,15038,2004,FORD,TAURUS,1FAFP55S44G160088,,ACCIDENT,,
433,2713773,14623,1986,CHEVROLET,CELEBRITY,1G1AW19X0G6240867,,ARREST,K,
501,2725046,15113,2003,CHEVROLET,VENTURE,1GNDX03EX3D278574,,ABANDONED,,
27,2703038,14159,1998,BUICK,LESABRE,1G4HP52K0WH414850,,OTHER,,
388,2713028,14584,2002,FORD,EXPEDITION,1FMPU16L42LA95802,,ABANDONED,,
61,2711036,14498,2005,FORD,ECONOLINE,1FTNE24W35HA29115,,ACCIDENT,,
463,2737046,15645,2014,HYUNDAI,SONATA,5NPEB4AC5EH818740,,ACCIDENT,,
76,2705693,14259,2002,CHEVROLET,SUBURBAN,1GNFK16Z02J203054,,ILLEGALLY PARKED,,
288,2698134,900807,1994,CHEVROLET,BERETTA,1G1LV15M4RY308117,,KCIPD,,
271,2718687,14808,2002,TOYOTA,CELICA,JTDDR32T120116889,,ACCIDENT,,
346,2696574,900781,2012,CHEVROLET,CAMARO,2G1FA1E3XC9207644,,KCIPD,,
503,2733301,15484,2003,MERCURY,GRAND MARQ,2MEFM75W83X704519,,ACCIDENT,,
211,2723678,15049,2015,MAZDA,CX-5,JM3KE4CY8F0442012,,ACCIDENT,,
357,2714838,14665,2004,SUZUKI,OTHER,JS1GN7CA442111409,,ARREST,K,
411,2712640,14565,2000,CHEVROLET,BLAZER,1GNDT13W2Y2184234,,STOLEN,,
393,2713529,14613,1999,FORD,CONTOUR,1FAFP6639XK203676,,ARREST,K,
376,2727491,15207,2002,CHEVROLET,IMPALA,2G1WH55K929330859,,ARREST,,
135,2731766,15395,1996,JEEP,GRAND CHER,1J4GZ78Y8TC189484,,ABANDONED,,
305,2730367,15349,2006,VOLKSWAGEN,JETTA,3VWDF71K16M634185,,ACCIDENT,K,
185,2723561,15044,1997,JEEP,GRAND CHER,1J4GZ78S4VC650565,,ACCIDENT,,
355,2714364,14646,2002,DODGE,STRATUS,1B3EL46R02N322106,,ACCIDENT,,
520,2720610,14908,2000,DODGE,CARAVAN,2B4FP25B1YR548602,,ACCIDENT,K,
425,2719021,14827,2002,FORD,FOCUS,3FAFP31342R220010,,ACCIDENT,,
168,2729179,15291,2000,FORD,RANGER,1FTYR10C1YPC15334,,ACCIDENT,,
248,2726070,15156,2004,KIA,SPECTRA,KNAFB121545303832,,ARREST,K,
172,2702940,14155,2002,PONTIAC,GRAND PRIX,1G2WP52K92F193450,,ABANDONED,,
266,2725509,15131,1999,JEEP,CHEROKEE,1J4FF68S5XL576624,,ABANDONED,,
102,2699135,13973,1998,PLYMOUTH,VOYAGER,2P4GP4536WR740456,,ILLEGALLY PARKED,,
383,2714422,14650,2004,CHEVROLET,TAHOE,1GNEC13VX4R175665,,ABANDONED,,
215,2728114,15232,2003,FORD,WINDSTAR,2FMDA58483BA92279,,ACCIDENT,,
426,2716978,14734,1996,GMC,SONOMA,1GTCS19X2T8530425,,ABANDONED,,
188,2723811,15056,1998,DODGE,NEON,1B3ES47C8WD556678,,STOLEN,,
144,2730006,15328,2000,DODGE,RAM,1B7HC16Y7YS510312,,ARREST,K,
481,2709919,14444,1995,CHEVROLET,CAMARO,2G1FP22P5S2132287,,OTHER,,
